image,caption,caption(English)
7.jpg,"???ng t??ng ??i ?ông, v?t c?n phía tr??c, v?a hè ph?i ??y ?? ??c, c?n th?n khi di chuy?n.","The road is relatively crowded, there are obstacles ahead, the right sidewalk is full of stuff, be careful when moving."
7.jpg,"???ng xe ?ông, phía tr??c b? ch?n, v?a hè bên ph?i nhi?u ch??ng ng?i, ?i t? t?.","The road is crowded with cars, blocked ahead, the sidewalk on the right has many obstacles, move slowly."
7.jpg,"???ng ?ông, c?n phía tr??c, v?a hè ph?i l?n x?n, ?i chú ý.","The road is crowded, blocked ahead, the sidewalk is chaotic, walk carefully."
8.jpg,"Bên trái có v?t c?n, bên ph?i ???ng khá v?ng.","There is an obstacle on the left, the right side of the road is quite empty."
8.jpg,"V?t c?n bên trái, ???ng bên ph?i th?a ng??i.","Obstacle on the left, road on the right is sparse with people."
8.jpg,"Phía trái b? ch?n, ph?i là ???ng tr?ng.","The left side is blocked, the right is an open road."
8.jpg,"Bên trái có ch??ng ng?i, ph?i là ???ng ít xe.","There is an obstacle on the left, the right is a less crowded road."
8.jpg,"Trái có v?t c?n, ph?i là l?i ?i v?ng v?.","Left has obstacles, right is a quiet path."
9.jpg,"???ng khá v?ng, phía xa có v?t c?n.","The road is quite empty, there is an obstacle in the distance."
9.jpg,"???ng tr?ng tr?i, xa xa có ch??ng ng?i.","The road is empty, with obstacles in the distance."
9.jpg,"???ng th?a ng??i, phía xa xu?t hi?n v?t c?n.","The road is sparse with people, a distant obstacle appears."
9.jpg,"???ng t??ng ??i yên t?nh, có v?t c?n phía xa.","The road is relatively quiet, with an obstacle in the distance."
9.jpg,"???ng v?ng v?, phía ??ng xa có v?t c?n.","The road is deserted, there is an obstacle in the distance."
10.jpg,"Phía tr??c có v?t c?n nh?, bên ph?i là nhi?u ch??ng ng?i.","There is a small obstacle ahead, and many obstacles on the right."
10.jpg,"Tr??c m?t có v?t c?n không l?n, ph?i là dãy ch??ng ng?i.","There is a small obstacle ahead, it must be a series of barriers."
10.jpg,"V?t c?n phía tr??c không to, bên ph?i l?n x?n nhi?u ??.","The obstacle ahead is not big, the right side is cluttered with many things."
10.jpg,"Có ch??ng ng?i nh? tr??c m?t, bên ph?i là các v?t c?n.","There is a small obstacle in front, on the right are obstructions."
10.jpg,"Tr??c có v?t c?n v?a ph?i, ph?i là hàng lo?t ch??ng ng?i.","In front, there is a moderate obstacle, it must be a series of hindrances."
11.jpg,"???ng khá h?p, hai bên có v?t c?n, phía tr??c tr?ng tr?i.","The road is quite narrow, with obstacles on both sides, and open space ahead."
11.jpg,"???ng nh?, trái ph?i ??u b? ch?n, phía tr??c v?ng.","The small road is blocked on both sides, and the front is empty."
11.jpg,"???ng t??ng ??i ch?t, c? hai bên ??u có ch??ng ng?i, tr??c m?t ít ng??i.","The road is relatively narrow, with obstacles on both sides, and few people ahead."
11.jpg,"???ng h?p, v?t c?n hai bên, phía tr??c th?a th?t.","Narrow road, obstacles on both sides, sparse ahead."
11.jpg,"???ng khá nh?, trái ph?i ??u có v?t c?n, tr??c m?t yên t?nh.","The road is quite narrow, with obstacles on both sides, and calmness ahead."
12.jpg,"Bên ph?i là làn xe ch?y, phía tr??c có v?t c?n.","The right side is the driving lane, there is an obstacle ahead."
12.jpg,"Ph?i là ???ng xe, tr??c m?t có ch??ng ng?i.","It must be a road, with an obstacle ahead."
12.jpg,"Bên ph?i có xe ch?y, tr??c có v?t c?n.","On the right, there is a moving vehicle, and in front, there is an obstacle."
12.jpg,"Làn xe bên ph?i, phía tr??c b? ch?n.",The right lane ahead is blocked.
12.jpg,"Bên ph?i xe ch?y, phía tr??c g?p v?t c?n.","The right side of the vehicle is moving, an obstacle is ahead."
13.jpg,"Hai bên trái ph?i là m?t h?, phía tr??c là ???ng v?ng.","On both the left and right are lakes, in front is a deserted road."
13.jpg,"C? hai bên là h? n??c, tr??c m?t là con ???ng th?a th?t.","On both sides are lakes, in front is a sparse road."
13.jpg,"Bên trái ph?i ??u là m?t h?, ???ng phía tr??c tr?ng tr?i.","On both the left and right are lakes, the road ahead is clear."
13.jpg,"Hai bên làn ???ng là h?, phía tr??c không có nhi?u ng??i.","On both sides of the road are lakes, there aren't many people ahead."
13.jpg,"Trái ph?i ??u là h? n??c, tr??c m?t là l?i ?i v?ng v?.","On both sides are lakes, in front is a deserted path."
14.jpg,Phía tr??c tr?ng tr?i.,The front is empty.
14.jpg,Tr??c m?t yên t?nh.,In front is calm.
14.jpg,Phía tr??c không có ai.,There is no one in front.
14.jpg,???ng phía tr??c v?ng l?ng.,The road ahead is quiet.
14.jpg,Tr??c m?t thoáng ?ãng.,The front is spacious.
15.jpg,"Bên ph?i có ch??ng ng?i, bên trái có v?t c?n nh?, phía tr??c v?ng.","There is an obstacle on the right, a small barrier on the left, and clear ahead."
15.jpg,"Ph?i có v?t c?n l?n, trái có v?t c?n nh?, tr??c m?t tr?ng tr?i.","On the right, there is a large obstacle; on the left, a small obstacle; in front, it is clear."
15.jpg,"Ch??ng ng?i bên ph?i, bên trái nh? h?n, phía tr??c th?a ng??i.","Obstacle on the right, smaller on the left, fewer people in front."
15.jpg,"Ph?i b? ch?n, trái có v?t nh?, tr??c m?t yên t?nh.","Right is blocked, left has a small object, in front is calm."
15.jpg,"Bên ph?i ch??ng ng?i l?n, trái có c?n nh?, tr??c m?t v?ng v?.","On the right is a big obstacle, on the left is a small hindrance, in front is empty."
16.jpg,"Phía tr??c có v?t c?n, bên ph?i là làn xe ch?y.","There is an obstacle ahead, and the right side is a traffic lane."
16.jpg,"Tr??c có ch??ng ng?i, ph?i là ???ng xe.","Before there is an obstacle, it must be a road for vehicles."
16.jpg,"V?t c?n phía tr??c, bên ph?i làn xe l?u thông.","Obstacle ahead, on the right side of the traffic lane."
16.jpg,"Tr??c m?t b? ch?n, bên ph?i là ???ng dành cho xe ch?y.","In front is blocked, on the right is the road for vehicles."
16.jpg,"Phía tr??c g?p v?t c?n, bên ph?i là làn ch?y xe.","Ahead is an obstacle, to the right is the driving lane."
17.jpg,L?i ?i phía tr??c b? ch?n.,The path ahead is blocked.
17.jpg,???ng tr??c m?t b? ch?n.,The road ahead is blocked.
17.jpg,L?i ?i b? c?n tr? phía tr??c.,The path is obstructed ahead.
17.jpg,Tr??c m?t l?i ?i b? ch?n l?i.,The path ahead is blocked.
17.jpg,???ng phía tr??c b? ng?n.,The road ahead is blocked.
18.jpg,"Bên ph?i là m?t h?, phía tr??c v?ng, bên trái có v?t c?n.","On the right is the lake, ahead is clear, on the left there is an obstacle."
18.jpg,"M?t h? bên ph?i, tr??c m?t tr?ng tr?i, trái có ch??ng ng?i.","The lake is on the right, open space in front, obstacle on the left."
18.jpg,"Ph?i là h? n??c, tr??c v?ng v?, trái g?p v?t c?n.","It must be a lake, empty in front, obstructed on the left."
18.jpg,"H? n??c bên ph?i, phía tr??c th?a ng??i, trái có c?n tr?.","The lake on the right, sparsely populated in front, obstacles on the left."
18.jpg,"Bên ph?i là h?, phía tr??c yên t?nh, bên trái b? ch?n.","To the right is a lake, in front is quiet, to the left is blocked."
19.jpg,"Hai bên trái ph?i ??u có v?t c?n, ???ng phía tr??c khá nh?n nh?p.","There are obstacles on both the left and right sides, and the road ahead is quite busy."
19.jpg,"V?t c?n hai bên, phía tr??c ???ng ?ông ?úc.","Obstacles on both sides, the road ahead is crowded."
19.jpg,"Trái ph?i ??u b? ch?n, tr??c m?t là ???ng nh?n nh?p.","Blocked on both sides, in front is a busy road."
19.jpg,"Hai bên ??u có ch??ng ng?i, phía tr??c ?ông ng??i qua l?i.","There are obstacles on both sides, and many people are passing by in front."
19.jpg,"V?t c?n c? hai bên, phía tr??c ???ng t?p n?p.","Obstacles on both sides, busy road ahead."
20.jpg,"Ch??ng ng?i v?t ng?n cách hai ???ng, c? hai ???ng ??u khá v?ng.","The obstacle separates the two roads, both of which are quite empty."
20.jpg,"Có v?t c?n chia ?ôi hai ???ng, c? hai bên ??u th?a th?t.","There is an obstacle dividing the two roads, both sides are sparse."
20.jpg,"V?t ch?n gi?a hai làn, c? hai ??u v?ng v?.","The barrier between the two lanes, both deserted."
20.jpg,"Hai ???ng b? ng?n cách b?i ch??ng ng?i, c? hai khá yên t?nh.","The two roads are separated by an obstacle, both are quite quiet."
20.jpg,"Ch??ng ng?i ? gi?a phân cách, hai ???ng ??u ít ng??i qua l?i.","The obstacle in the middle separates, both roads are less traveled."
21.jpg,"Bên trái là m?t h?, phía xa có v?t c?n nh?, ???ng khá v?ng.","On the left is the lake, in the distance there is a small obstacle, the road is quite empty."
21.jpg,"M?t h? bên trái, xa xa có ch??ng ng?i nh?, ???ng th?a ng??i.","The lake on the left, far away there is a small obstacle, the road is sparsely populated."
21.jpg,"Bên trái có h?, v?t c?n nh? ? phía xa, ???ng t??ng ??i tr?ng.","On the left, there is a lake, a small obstacle in the distance, the road is relatively clear."
21.jpg,"H? n??c bên trái, ch??ng ng?i nh? phía xa, ???ng v?ng v?.","The lake on the left, a small obstacle in the distance, a deserted road."
21.jpg,"Trái là h? n??c, v?t c?n nh? phía xa, ???ng yên t?nh.","To the left is a lake, a small obstacle in the distance, a quiet road."
22.jpg,"Bên ph?i có vài ch??ng ng?i, phía tr??c là cái c?ng, ???ng v?ng.","On the right, there are some obstacles, ahead is the gate, the road is empty."
22.jpg,"Ph?i có m?t s? v?t c?n, tr??c m?t là c?ng, ???ng th?a ng??i.","There must be some obstacles, in front is the gate, the road is sparsely populated."
22.jpg,"Bên ph?i r?i rác ch??ng ng?i, phía tr??c có c?ng, ???ng khá yên t?nh.","On the right, there are scattered obstacles, ahead there is a gate, the road is quite quiet."
22.jpg,"Vài v?t c?n bên ph?i, tr??c là c?ng, ???ng tr?ng tr?i.","A few obstacles on the right, ahead is a gate, the road is clear."
22.jpg,"Bên ph?i có vài ch??ng ng?i, tr??c m?t là c?ng, ???ng v?ng v?.","On the right, there are some obstacles, in front is the gate, the road is deserted."
23.jpg,"Phía tr??c bên ph?i có v?t c?n, bên trái khá v?ng, có c?ng ra ???ng chính.","In front on the right, there is an obstacle; on the left, it is quite clear, with a gate leading to the main road."
23.jpg,"Bên ph?i phía tr??c b? ch?n, trái v?ng v?, có c?ng d?n ra ???ng chính.","The right front is blocked, the left is empty, there is a gate leading to the main road."
23.jpg,"Ph?i tr??c m?t có ch??ng ng?i, trái yên t?nh, có c?ng ra ???ng l?n.","In front, there is an obstacle; on the left, it's calm, with a gate leading to the main road."
23.jpg,"V?t c?n bên ph?i phía tr??c, trái th?a th?t, có c?ng ?i ra ???ng chính.","Obstacle on the right front, sparse on the left, with a gate leading to the main road."
23.jpg,"Phía tr??c ph?i có v?t c?n, trái v?ng, c?ng ra ???ng l?n ? ?ó.","In front, there must be an obstacle, the left is clear, the gate to the main road is there."
24.jpg,"Bên trái là h?, bên ph?i có v?t c?n ng?n, phía tr??c ???ng khá h?p.","On the left is a lake, on the right is a short obstacle, and the road ahead is quite narrow."
24.jpg,"H? bên trái, ph?i có ch??ng ng?i nh?, tr??c m?t là ???ng h?p.","The lake on the left, there must be a small obstacle, in front is a narrow road."
24.jpg,"Trái là m?t h?, ph?i có v?t c?n ng?n, ???ng tr??c m?t t??ng ??i ch?t.","The left is the lake surface, the right has a short obstacle, the road ahead is relatively narrow."
24.jpg,"Bên trái h? n??c, ph?i có v?t c?n ng?n, ???ng phía tr??c thu h?p.","To the left of the lake, there must be a short barrier, the road ahead narrows."
24.jpg,"M?t h? bên trái, ph?i b? ch?n nh?, ???ng phía tr??c khá nh?.","The lake on the left and right is slightly obstructed, the road ahead is quite narrow."
25.jpg,L?i ?i phía tr??c b? ch?n hoàn toàn.,The path ahead is completely blocked.
25.jpg,???ng phía tr??c b? ch?n kín.,The road ahead is completely blocked.
25.jpg,L?i tr??c m?t không th? ?i qua.,The path ahead is impassable.
25.jpg,???ng ?i phía tr??c b? phong t?a.,The road ahead is blocked.
25.jpg,L?i phía tr??c b? ch?n h?t.,The way ahead is completely blocked.
26.jpg,"V?a hè bên trái có nhi?u ch??ng ng?i, phía tr??c ???ng khá v?ng.","The sidewalk on the left has many obstacles, the road ahead is quite empty."
26.jpg,"Bên trái v?a hè l?n x?n, tr??c m?t là ???ng th?a th?t.","The left sidewalk is messy, in front is a sparse road."
26.jpg,"V?a hè trái ??y v?t c?n, ???ng phía tr??c tr?ng tr?i.","The left sidewalk is full of obstacles, the road ahead is clear."
26.jpg,"Bên trái có nhi?u ch??ng ng?i, ???ng tr??c m?t ít ng??i.","There are many obstacles on the left, the road ahead has few people."
26.jpg,"V?a hè trái l?n x?n, ???ng tr??c t??ng ??i yên t?nh.","The left sidewalk is chaotic, the road in front is relatively quiet."
27.jpg,"V?a hè bên trái phía xa có v?t c?n, còn l?i ???ng khá v?ng.","The sidewalk on the left in the distance has an obstacle, the rest of the road is quite empty."
27.jpg,"Bên trái xa xa có ch??ng ng?i, ???ng còn l?i th?a th?t.","On the far left, there is an obstacle, the remaining road is sparse."
27.jpg,"V?a hè trái phía xa b? ch?n, ph?n ???ng còn l?i tr?ng tr?i.","The far left sidewalk is blocked, the remaining road is empty."
27.jpg,"Xa bên trái có v?t c?n, ???ng phía tr??c t??ng ??i yên t?nh.","There is an obstacle on the far left, the road ahead is relatively quiet."
27.jpg,"Bên trái phía xa có c?n tr?, còn l?i ???ng v?ng v?.","On the left in the distance, there is an obstruction, the rest of the road is deserted."
28.jpg,"Bên ph?i và trái ??u có v?t c?n, phía tr??c ???ng v?ng.","There are obstacles on both the right and left, the road ahead is clear."
28.jpg,"C? hai bên ??u b? ch?n, tr??c m?t ???ng tr?ng tr?i.","Both sides are blocked, with an open road ahead."
28.jpg,"V?t c?n hai bên, phía tr??c yên t?nh.","Obstacles on both sides, calm ahead."
28.jpg,"Ph?i và trái ??u có ch??ng ng?i, ???ng tr??c m?t th?a th?t.","There are obstacles on both the right and left, the road ahead is sparse."
28.jpg,"Hai bên b? ch?n, phía tr??c ???ng khá v?ng.","Both sides are blocked, the road ahead is quite empty."
29.jpg,"Hai bên có v?t c?n, phía tr??c có ng??i, ???ng khá v?ng.","There are obstacles on both sides, people in front, the road is quite empty."
29.jpg,"V?t c?n hai bên, tr??c m?t có ng??i ??ng, ???ng th?a th?t.","Obstacles on both sides, people standing in front, sparse road."
29.jpg,"C? hai bên ??u b? ch?n, phía tr??c có ng??i, ???ng v?ng v?.","Both sides are blocked, there are people in front, the road is deserted."
29.jpg,"Hai bên có ch??ng ng?i, phía tr??c có ng??i, ???ng tr?ng tr?i.","There are obstacles on both sides, people in front, the road is clear."
29.jpg,"V?t c?n ? c? hai bên, tr??c m?t có ng??i, ???ng t??ng ??i yên t?nh.","Obstacles on both sides, people in front, the road is relatively quiet."
30.jpg,"Phía tr??c là ???ng v?ng, hai bên là v?a hè nhi?u v?t c?n.","In front is an empty road, with sidewalks on both sides having many obstacles."
30.jpg,"???ng tr??c m?t tr?ng tr?i, v?a hè hai bên l?n x?n v?t c?n.","The road ahead is clear, the sidewalks on both sides are cluttered with obstacles."
30.jpg,"Tr??c m?t là con ???ng yên t?nh, v?a hè hai bên ??y ch??ng ng?i.","In front is a quiet road, with sidewalks on both sides full of obstacles."
30.jpg,"???ng phía tr??c th?a th?t, hai bên v?a hè l?n x?n nhi?u ??.","The road ahead is sparse, with cluttered sidewalks on both sides."
30.jpg,"Phía tr??c là ???ng v?ng v?, v?a hè hai bên có nhi?u v?t ch?n.","Ahead is a deserted road, with sidewalks on both sides having many obstacles."
31.jpg,Hai bên phía tr??c ???ng v?ng.,In front of both sides of the empty road.
31.jpg,Tr??c m?t hai bên ??u v?ng v?.,"In front, both sides are deserted."
31.jpg,C? hai bên phía tr??c ??u th?a th?t.,Both sides in the front are sparse.
31.jpg,???ng phía tr??c hai bên ??u v?ng.,The road ahead is deserted on both sides.
31.jpg,Hai bên tr??c m?t ??u tr?ng tr?i.,In front of both sides is empty.
32.jpg,"Phía tr??c ???ng v?ng, hai bên có v?t c?n.","In front of the empty road, there are obstacles on both sides."
32.jpg,"???ng tr??c m?t tr?ng, hai bên b? ch?n.","The road ahead is clear, blocked on both sides."
32.jpg,"Tr??c m?t v?ng v?, hai bên có ch??ng ng?i.","In front is empty, obstacles on both sides."
32.jpg,"???ng phía tr??c th?a th?t, v?t c?n hai bên.","The road ahead is sparse, obstacles on both sides."
32.jpg,"???ng tr?ng phía tr??c, hai bên l?n x?n v?t c?n.","The road ahead is clear, with obstacles on both sides."
33.jpg,"Hai bên có v?t c?n, phía tr??c ???ng v?ng.","There are obstacles on both sides, the road ahead is clear."
33.jpg,"V?t c?n hai bên, tr??c m?t ???ng tr?ng.","Obstacles on both sides, the road ahead is clear."
33.jpg,"C? hai bên ??u b? ch?n, phía tr??c yên t?nh.","Both sides are blocked, the front is quiet."
33.jpg,"Hai bên l?n x?n v?t c?n, ???ng tr??c m?t v?ng v?.","On both sides are cluttered obstacles, the road ahead is deserted."
33.jpg,"V?t c?n ? c? hai bên, phía tr??c ???ng khá v?ng.","Obstacles on both sides, the road ahead is quite empty."
34.jpg,"???ng khá h?p, hai bên có v?t c?n.","The road is quite narrow, with obstacles on both sides."
34.jpg,"???ng t??ng ??i ch?t, v?t c?n hai bên.","The road is relatively narrow, with obstacles on both sides."
34.jpg,"L?i ?i h?p, hai bên b? ch?n.","Narrow path, blocked on both sides."
34.jpg,"???ng nh?, hai bên có ch??ng ng?i.",The narrow road has obstacles on both sides.
34.jpg,"???ng h?p, hai bên l?n x?n v?t c?n.","The narrow road, cluttered with obstacles on both sides."
35.jpg,Phía tr??c ???ng v?ng.,The road ahead is empty.
35.jpg,???ng tr??c m?t tr?ng tr?i.,The road ahead is empty.
35.jpg,Tr??c m?t là con ???ng yên t?nh.,In front is a quiet road.
35.jpg,???ng phía tr??c th?a th?t.,The road ahead is sparse.
35.jpg,Phía tr??c không có ai.,There is no one in front.
36.jpg,Phía tr??c ???ng khá v?ng.,The road ahead is quite empty.
36.jpg,???ng tr??c m?t th?a th?t.,The road ahead is sparse.
36.jpg,Tr??c m?t là con ???ng t??ng ??i yên t?nh.,In front is a relatively quiet road.
36.jpg,???ng phía tr??c ít ng??i qua l?i.,The road ahead is less traveled.
36.jpg,"Phía tr??c tr?ng tr?i, ???ng khá v?ng.","The road ahead is empty, quite deserted."
37.jpg,Phía tr??c ???ng v?ng v?.,The road ahead is deserted.
37.jpg,???ng tr??c m?t tr?ng tr?i.,The road ahead is empty.
37.jpg,Tr??c m?t là con ???ng yên t?nh.,In front is a quiet road.
37.jpg,???ng phía tr??c th?a th?t.,The road ahead is sparse.
37.jpg,Phía tr??c không có ai qua l?i.,There is no one passing by in front.
38.jpg,Phía tr??c ???ng khá yên t?nh.,The road ahead is quite quiet.
38.jpg,???ng tr??c m?t im ?ng.,The road ahead is quiet.
38.jpg,Tr??c m?t là con ???ng t?nh l?ng.,In front is the quiet road.
38.jpg,???ng phía tr??c không ?n ào.,The road ahead is not noisy.
38.jpg,Phía tr??c ???ng bình l?ng.,In front of the calm road.
39.jpg,Phía tr??c ???ng tr?ng tr?i.,The road ahead is clear.
39.jpg,"???ng tr??c m?t r?ng rãi, không có ch??ng ng?i.","The road ahead is wide, without obstacles."
39.jpg,Tr??c m?t là con ???ng thoáng ?ãng.,In front is a clear road.
39.jpg,???ng phía tr??c không có gì ch?n.,The road ahead is clear.
39.jpg,Phía tr??c l?i ?i thông thoáng.,The path ahead is clear.
40.jpg,"Phía tr??c là ???ng v?ng, phía xa bên ph?i có v?t c?n.","Ahead is an empty road, and in the distance on the right, there is an obstacle."
40.jpg,"???ng tr??c m?t tr?ng tr?i, xa bên ph?i có ch??ng ng?i.","The road ahead is clear, with an obstacle far to the right."
40.jpg,"Tr??c m?t là con ???ng yên t?nh, phía xa ph?i b? ch?n.","In front is a quiet road, the far right is blocked."
40.jpg,"???ng phía tr??c th?a th?t, xa bên ph?i có v?t c?n.","The road ahead is sparse, there is an obstacle far to the right."
40.jpg,"Phía tr??c v?ng v?, bên ph?i phía xa có v?t ch?n.","The front is clear, there is an obstruction on the far right."
41.jpg,"Hai bên có ch??ng ng?i v?t liên ti?p, ? gi?a ???ng v?ng v?.","There are consecutive obstacles on both sides, in the middle of a deserted road."
41.jpg,"V?t c?n n?i ti?p hai bên, ? gi?a là ???ng tr?ng tr?i.","Obstacles line both sides, with an open road in the middle."
41.jpg,"Ch??ng ng?i v?t dày ??c hai bên, gi?a ???ng khá v?ng.","The obstacles are dense on both sides, the middle of the road is quite empty."
41.jpg,"Hai bên b? ch?n liên t?c, ? gi?a ???ng th?a th?t.","Both sides are continuously blocked, the middle of the road is sparse."
41.jpg,"V?t c?n n?i dài hai bên, ? gi?a là l?i ?i yên t?nh.","Obstacles extend on both sides, in the middle is a quiet path."
42.jpg,"???ng phía tr??c v?ng, hai bên xa xa có v?t c?n.","The road ahead is empty, with obstacles on both sides in the distance."
42.jpg,"Tr??c m?t là ???ng yên t?nh, xa hai bên có ch??ng ng?i.","In front is a quiet road, with obstacles on both sides in the distance."
42.jpg,"???ng v?ng v? phía tr??c, v?t c?n ? xa hai bên.","The road ahead is deserted, obstacles are far on both sides."
42.jpg,"???ng tr??c m?t th?a th?t, hai bên phía xa b? ch?n.","The road ahead is sparse, with both sides blocked in the distance."
42.jpg,"Phía tr??c ???ng tr?ng, hai bên xa xa có v?t c?n.","In front, the road is clear, with obstacles on both sides in the distance."
43.jpg,"???ng phía tr??c tr?ng tr?i, hai bên xa xa có v?t c?n.","The road ahead is empty, with obstacles on both sides in the distance."
43.jpg,"Tr??c m?t là ???ng thoáng, xa hai bên có ch??ng ng?i.","In front is a clear road, with obstacles on both sides in the distance."
43.jpg,"???ng tr?ng phía tr??c, v?t c?n n?m xa hai bên.","The road ahead is clear, obstacles are far on both sides."
43.jpg,"???ng tr??c m?t r?ng rãi, ch??ng ng?i ? xa hai bên.","The road ahead is wide, with obstacles far on both sides."
43.jpg,"Phía tr??c thông thoáng, hai bên xa xa b? ch?n.","The front is clear, both sides are blocked in the distance."
44.jpg,"Phía tr??c bên ph?i có v?t c?n, bên trái c?ng có, ???ng r?t h?p.","There is an obstacle in front on the right, also on the left, the road is very narrow."
44.jpg,"V?t c?n tr??c m?t bên ph?i và bên trái, l?i ?i ch?t ch?i.","Obstacles in front on the right and left, narrow passage."
44.jpg,"Bên ph?i và trái ??u b? ch?n, ???ng phía tr??c khá h?p.","The right and left are both blocked, the road ahead is quite narrow."
44.jpg,"C? hai bên có ch??ng ng?i, ???ng ? gi?a r?t nh?.","Both sides have obstacles, the path in the middle is very narrow."
44.jpg,"Phía tr??c b? ch?n c? hai bên, l?i ?i r?t h?p.","The front is blocked on both sides, the path is very narrow."
46.jpg,Phía tr??c nh?n nh?p.,Busy in front.
46.jpg,???ng tr??c m?t ?ông ?úc.,The road ahead is crowded.
46.jpg,Tr??c m?t t?p n?p ng??i qua l?i.,"In front, bustling with people passing by."
46.jpg,???ng phía tr??c khá sôi ??ng.,The road ahead is quite bustling.
46.jpg,"Tr??c m?t ?n ào, náo nhi?t.","In front, it's noisy and bustling."
47.jpg,"Phía xa bên ph?i có v?t c?n, ? gi?a và bên trái ???ng v?ng.","In the distance on the right, there is an obstacle, while the middle and left of the road are clear."
47.jpg,"Xa bên ph?i b? ch?n, gi?a và trái ???ng tr?ng.","The right side is blocked, the middle and left lanes are clear."
47.jpg,"V?t c?n ? xa bên ph?i, ph?n gi?a và trái yên t?nh.","The obstacle is far on the right, the middle and left are calm."
47.jpg,"Xa bên ph?i có ch??ng ng?i, gi?a và trái th?a th?t.","On the far right, there is an obstacle, the middle and left are sparse."
